transaction_id,merchant_id,customer_id,business_category,currency_code,reference_token,gross_amount,fee_amount,net_amount,transaction_status,tax_amount,calculated_net,final_status,fee_percentage,currency_region,commerce_type,net_amount_mismatch_flag,fee_exceeds_amount_flag,dbt_loaded_at
A338416,B907053,C695477,ONLINE,EUR,REF-10313018,6.17,0.08,6.13,Cancelled,0.62,6.09,Cancelled,1.3,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A976148,B834294,C097702,SUBSCRIPTION,EUR,REF-75805034,3.25,0,3.21,Cancelled,0.33,3.25,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A650771,B178493,C052269,SUBSCRIPTION,EUR,REF-88991403,3.76,0,3.7199999999999998,Cancelled,0.38,3.76,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A022341,B220775,C931959,SUBSCRIPTION,EUR,REF-37475987,1.75,0.02,1.71,Cancelled,0.18,1.73,Cancelled,1.14,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A302034,B049378,C743347,WHOLESALE,EUR,REF-39135361,2.3,0.03,2.28,Cancelled,0.23,2.27,Cancelled,1.3,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A023613,B282335,C901605,B2B,EUR,REF-71914105,1.87,0.01,1.87,Cancelled,0.19,1.86,Cancelled,0.53,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A891148,B702036,C274247,B2B,EUR,REF-52540775,5.95,0.34,5.61,Cancelled,0.6,5.61,Cancelled,5.71,Europe,Business Services,false,false,2026-02-25 17:55:51.437438 UTC
A671829,B242174,C229038,MARKETPLACE,EUR,REF-48427374,14.08,0.41,13.61,Cancelled,1.41,13.67,Cancelled,2.91,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A047111,B937500,C510320,RETAIL,EUR,REF-59530842,8.56,0.05,8.54,Cancelled,0.86,8.51,Cancelled,0.58,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A912321,B702489,C995750,WHOLESALE,EUR,REF-50577620,6.19,0.16,6.03,Cancelled,0.62,6.03,Cancelled,2.58,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A877955,B492008,C168200,B2B,EUR,REF-15000672,11.4,0.1,11.19,Cancelled,1.14,11.3,Cancelled,0.88,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A398665,B702579,C901653,MARKETPLACE,EUR,REF-10077946,1.73,0,1.71,Cancelled,0.17,1.73,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A373460,B317061,C797534,RETAIL,EUR,REF-36331314,1.86,0.05,1.81,Cancelled,0.19,1.81,Cancelled,2.69,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A206169,B163872,C771678,RETAIL,EUR,REF-83744084,5.91,0.22,5.68,Cancelled,0.59,5.69,Cancelled,3.72,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A515901,B687562,C657177,SUBSCRIPTION,EUR,REF-68925092,2.28,0.19,2.08,Cancelled,0.23,2.09,Cancelled,8.33,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A215669,B844331,C707195,SUBSCRIPTION,EUR,REF-81206120,3.43,0.23,3.26,Cancelled,0.34,3.2,Cancelled,6.71,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A249255,B401905,C552767,SUBSCRIPTION,EUR,REF-16157336,10.5,0.26,10.2,Cancelled,1.05,10.24,Cancelled,2.48,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A110741,B399732,C447095,SUBSCRIPTION,EUR,REF-72952652,11.07,0.35,10.8,Cancelled,1.11,10.72,Cancelled,3.16,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A998190,B560550,C817137,MARKETPLACE,EUR,REF-33813619,4.79,0.11,4.68,Cancelled,0.48,4.68,Cancelled,2.3,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A626967,B494444,C762049,MARKETPLACE,EUR,REF-02064374,15.13,0.15,15.01,Cancelled,1.51,14.98,Cancelled,0.99,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A469573,B439114,C670884,ONLINE,EUR,REF-18775408,11.78,0,11.78,Cancelled,1.18,11.78,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A775851,B453385,C358935,ONLINE,EUR,REF-48471525,1.47,0.11,1.33,Cancelled,0.15,1.36,Cancelled,7.48,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A216230,B004264,C706657,SUBSCRIPTION,EUR,REF-61261704,9.77,0.15,9.52,Cancelled,0.98,9.62,Cancelled,1.54,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A831669,B476691,C758507,MARKETPLACE,EUR,REF-80550711,3.91,0,3.9000000000000004,Cancelled,0.39,3.91,Cancelled,0,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A592598,B707548,C622738,MARKETPLACE,EUR,REF-40148219,2.36,0.03,2.31,Cancelled,0.24,2.33,Cancelled,1.27,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A563230,B722698,C127476,ONLINE,EUR,REF-99618229,4.02,0,4.01,Cancelled,0.4,4.02,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A964252,B989181,C271680,ONLINE,EUR,REF-19596095,3.27,0.34,2.88,Cancelled,0.33,2.93,Cancelled,10.4,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A948338,B904854,C139171,RETAIL,EUR,REF-52654782,5.03,0,5.01,Cancelled,0.5,5.03,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A301136,B029565,C483388,SUBSCRIPTION,EUR,REF-25579638,9.32,0.02,9.26,Cancelled,0.93,9.3,Cancelled,0.21,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A898720,B066265,C046777,SUBSCRIPTION,EUR,REF-67877365,13.36,0.32,13.06,Cancelled,1.34,13.04,Cancelled,2.4,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A567740,B873771,C121517,B2B,EUR,REF-38753630,9.77,0.35,9.38,Cancelled,0.98,9.42,Cancelled,3.58,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A028768,B196177,C961436,MARKETPLACE,EUR,REF-40840598,4.79,0,4.78,Cancelled,0.48,4.79,Cancelled,0,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A362482,B848096,C630332,MARKETPLACE,EUR,REF-58688096,9.72,0.13,9.62,Cancelled,0.97,9.59,Cancelled,1.34,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A906033,B318526,C463174,MARKETPLACE,EUR,REF-91595678,2.05,0.18,1.87,Cancelled,0.2,1.87,Cancelled,8.78,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A221792,B959813,C951015,MARKETPLACE,EUR,REF-42540169,9.34,0.3,9.01,Cancelled,0.93,9.04,Cancelled,3.21,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A684860,B424048,C290413,MARKETPLACE,EUR,REF-88030386,5.8,0.53,5.26,Cancelled,0.58,5.27,Cancelled,9.14,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A899901,B068831,C774519,ONLINE,EUR,REF-54087843,1.89,0,1.8599999999999999,Cancelled,0.19,1.89,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A011413,B598188,C313876,ONLINE,EUR,REF-34591546,5.02,0.11,4.9,Cancelled,0.5,4.91,Cancelled,2.19,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A933501,B116156,C848629,ONLINE,EUR,REF-43853738,9.44,0.16,9.26,Cancelled,0.94,9.28,Cancelled,1.69,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A842208,B277082,C695883,ONLINE,EUR,REF-71961985,16.48,0.44,15.95,Cancelled,1.65,16.04,Cancelled,2.67,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A161973,B600487,C613844,B2B,EUR,REF-88602933,4.73,0.11,4.66,Cancelled,0.47,4.62,Cancelled,2.33,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A900616,B991098,C098328,B2B,EUR,REF-00402780,3.39,0.13,3.22,Cancelled,0.34,3.26,Cancelled,3.83,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A967085,B587268,C122855,MARKETPLACE,EUR,REF-37505391,5.52,0,5.51,Cancelled,0.55,5.52,Cancelled,0,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A144127,B124319,C985640,MARKETPLACE,EUR,REF-12056610,1,0.01,0.97,Cancelled,0.1,0.99,Cancelled,1,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A330403,B481265,C686703,MARKETPLACE,EUR,REF-85279584,1.3,0.01,1.3,Cancelled,0.13,1.29,Cancelled,0.77,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A107899,B721515,C692787,MARKETPLACE,EUR,REF-50983094,11.45,0.02,11.43,Cancelled,1.15,11.43,Cancelled,0.17,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A689461,B239633,C971299,MARKETPLACE,EUR,REF-66161363,10.76,0.06,10.72,Cancelled,1.08,10.7,Cancelled,0.56,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A140299,B932522,C083434,SUBSCRIPTION,EUR,REF-38037092,1.53,0.01,1.5,Cancelled,0.15,1.52,Cancelled,0.65,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A155691,B218000,C178385,SUBSCRIPTION,EUR,REF-74823916,1.56,0.13,1.43,Cancelled,0.16,1.43,Cancelled,8.33,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A835657,B845635,C682833,MARKETPLACE,EUR,REF-26488343,14.26,0.04,14.16,Cancelled,1.43,14.22,Cancelled,0.28,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A905295,B890395,C566490,MARKETPLACE,EUR,REF-76049829,7.27,0.34,6.94,Cancelled,0.73,6.93,Cancelled,4.68,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A095657,B649877,C343707,ONLINE,EUR,REF-76686942,7.55,0.29,7.32,Cancelled,0.76,7.26,Cancelled,3.84,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A863358,B729767,C295203,WHOLESALE,EUR,REF-57934981,3.94,0.11,3.84,Cancelled,0.39,3.83,Cancelled,2.79,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A360372,B957796,C366337,B2B,EUR,REF-88797774,6.86,0.08,6.74,Cancelled,0.69,6.78,Cancelled,1.17,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A873996,B365206,C232215,B2B,EUR,REF-15804090,8.31,0.41,7.9,Cancelled,0.83,7.9,Cancelled,4.93,Europe,Business Services,false,false,2026-02-25 17:55:51.437438 UTC
A267461,B922617,C236300,RETAIL,EUR,REF-27681746,27.74,0.28,27.43,Cancelled,2.77,27.46,Cancelled,1.01,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A534438,B301173,C777921,RETAIL,EUR,REF-90736916,16.9,0.41,16.42,Cancelled,1.69,16.49,Cancelled,2.43,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A183651,B600186,C400079,SUBSCRIPTION,EUR,REF-32080291,2.3,0,2.25,Cancelled,0.23,2.3,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A683015,B609536,C761206,SUBSCRIPTION,EUR,REF-78042300,1.09,0,1.03,Cancelled,0.11,1.09,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A553043,B634820,C930904,WHOLESALE,EUR,REF-54277053,2.83,0.04,2.8,Cancelled,0.28,2.79,Cancelled,1.41,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A696965,B523836,C173278,MARKETPLACE,EUR,REF-21239062,8.02,0,8.01,Cancelled,0.8,8.02,Cancelled,0,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A579672,B109291,C894391,SUBSCRIPTION,EUR,REF-61922877,5.24,0.08,5.14,Cancelled,0.52,5.16,Cancelled,1.53,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A793078,B639395,C207890,SUBSCRIPTION,EUR,REF-78036375,11.83,0.16,11.69,Cancelled,1.18,11.67,Cancelled,1.35,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A365333,B864518,C371705,WHOLESALE,EUR,REF-91578661,8.55,0.04,8.5,Cancelled,0.86,8.51,Cancelled,0.47,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A315949,B135679,C492238,WHOLESALE,EUR,REF-99990265,7.17,0.15,7.01,Cancelled,0.72,7.02,Cancelled,2.09,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A694473,B125920,C409733,B2B,EUR,REF-99587172,4.76,0.09,4.72,Cancelled,0.48,4.67,Cancelled,1.89,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A759990,B687010,C581848,B2B,EUR,REF-03179315,11.91,0.38,11.43,Cancelled,1.19,11.53,Cancelled,3.19,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A098579,B019932,C876724,ONLINE,EUR,REF-13427203,6.2,0.12,6.13,Cancelled,0.62,6.08,Cancelled,1.94,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A349894,B852293,C641454,SUBSCRIPTION,EUR,REF-24281783,6.06,0.17,5.83,Cancelled,0.61,5.89,Cancelled,2.81,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A743871,B533552,C817036,SUBSCRIPTION,EUR,REF-88229232,4.74,0.22,4.53,Cancelled,0.47,4.52,Cancelled,4.64,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A051598,B254753,C009188,WHOLESALE,EUR,REF-82211746,5.15,0,5.12,Cancelled,0.52,5.15,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A931291,B931941,C308023,MARKETPLACE,EUR,REF-15856059,19.78,0.68,19.13,Cancelled,1.98,19.1,Cancelled,3.44,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A522063,B229509,C919070,RETAIL,EUR,REF-90732455,6.18,0.19,5.96,Cancelled,0.62,5.99,Cancelled,3.07,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A951680,B876567,C656869,B2B,EUR,REF-85456075,4.49,0.37,4.11,Cancelled,0.45,4.12,Cancelled,8.24,Europe,Business Services,false,false,2026-02-25 17:55:51.437438 UTC
A344160,B446154,C938196,MARKETPLACE,EUR,REF-88456081,24.31,0.76,23.46,Cancelled,2.43,23.55,Cancelled,3.13,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A319998,B948769,C257422,ONLINE,EUR,REF-31745167,11.02,0,10.99,Cancelled,1.1,11.02,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A344757,B652822,C461129,SUBSCRIPTION,EUR,REF-55996262,30.98,0.03,30.96,Cancelled,3.1,30.95,Cancelled,0.1,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A853793,B277379,C205466,B2B,EUR,REF-91696320,20.57,0.03,20.44,Cancelled,2.06,20.54,Cancelled,0.15,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A267810,B289321,C890412,B2B,EUR,REF-43250314,14.71,0.06,14.69,Cancelled,1.47,14.65,Cancelled,0.41,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A706554,B888655,C760226,MARKETPLACE,EUR,REF-27796521,14,0.48,13.52,Cancelled,1.4,13.52,Cancelled,3.43,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A358650,B444704,C811680,ONLINE,EUR,REF-66719002,6.12,0.06,6.11,Cancelled,0.61,6.06,Cancelled,0.98,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A276013,B578987,C801325,RETAIL,EUR,REF-35218449,9.79,0.19,9.53,Cancelled,0.98,9.6,Cancelled,1.94,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A619942,B702210,C524047,RETAIL,EUR,REF-17583144,1.72,0.24,1.49,Cancelled,0.17,1.48,Cancelled,13.95,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A587784,B710908,C453117,WHOLESALE,EUR,REF-96869170,8.55,0.16,8.4,Cancelled,0.86,8.39,Cancelled,1.87,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A533273,B964520,C396681,WHOLESALE,EUR,REF-55628845,3.34,0.3,3.01,Cancelled,0.33,3.04,Cancelled,8.98,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A956244,B883441,C994793,B2B,EUR,REF-50653477,10.23,0.28,9.93,Cancelled,1.02,9.95,Cancelled,2.74,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A219949,B798466,C943731,RETAIL,EUR,REF-94347953,2.05,0,1.93,Cancelled,0.2,2.05,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A394621,B592738,C844557,RETAIL,EUR,REF-60668036,5.5,0,5.48,Cancelled,0.55,5.5,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A565399,B225645,C762991,SUBSCRIPTION,EUR,REF-48135827,2.06,0,2.02,Cancelled,0.21,2.06,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A082108,B986167,C573501,SUBSCRIPTION,EUR,REF-18371245,5.2,0.04,5.17,Cancelled,0.52,5.16,Cancelled,0.77,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A137556,B003137,C075139,WHOLESALE,EUR,REF-40671577,3.43,0.06,3.29,Cancelled,0.34,3.37,Cancelled,1.75,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A668337,B231161,C915410,WHOLESALE,EUR,REF-02923098,2.99,0.15,2.95,Cancelled,0.3,2.84,Cancelled,5.02,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A590615,B965397,C070296,B2B,EUR,REF-66520627,8.3,0,8.2900000000000009,Cancelled,0.83,8.3,Cancelled,0,Europe,Business Services,false,false,2026-02-25 17:55:51.437438 UTC
A522532,B311329,C885742,B2B,EUR,REF-38457928,17.88,0.37,17.51,Cancelled,1.79,17.51,Cancelled,2.07,Europe,Business Services,false,false,2026-02-25 17:55:51.437438 UTC
A550369,B672144,C467009,RETAIL,EUR,REF-42789901,10.61,0.08,10.53,Cancelled,1.06,10.53,Cancelled,0.75,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A521727,B968542,C270212,SUBSCRIPTION,EUR,REF-56353942,3.65,0.06,3.56,Cancelled,0.36,3.59,Cancelled,1.64,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A717919,B255528,C474293,SUBSCRIPTION,EUR,REF-81404286,3.48,0.17,3.39,Cancelled,0.35,3.31,Cancelled,4.89,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A834749,B937800,C270654,WHOLESALE,EUR,REF-41076163,2.25,0,2.23,Cancelled,0.23,2.25,Cancelled,0,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A362363,B796388,C377992,B2B,EUR,REF-45077831,14.92,0.02,14.87,Cancelled,1.49,14.9,Cancelled,0.13,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A618598,B764947,C791671,B2B,EUR,REF-86496045,8.84,0.25,8.55,Cancelled,0.88,8.59,Cancelled,2.83,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A417533,B998731,C664197,MARKETPLACE,EUR,REF-96670165,3.42,0.05,3.38,Cancelled,0.34,3.37,Cancelled,1.46,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A826607,B080678,C381625,MARKETPLACE,EUR,REF-18580316,5.77,0.3,5.49,Cancelled,0.58,5.47,Cancelled,5.2,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A418982,B413107,C744932,ONLINE,EUR,REF-12601644,45.1,1.05,44.01,Cancelled,4.51,44.05,Cancelled,2.33,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A346329,B551577,C006179,RETAIL,EUR,REF-08416179,7.67,0.01,7.66,Cancelled,0.77,7.66,Cancelled,0.13,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A154941,B597954,C341594,SUBSCRIPTION,EUR,REF-68917716,10.34,0,10.34,Cancelled,1.03,10.34,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A498686,B936436,C991263,SUBSCRIPTION,EUR,REF-43268936,4.99,0,4.99,Cancelled,0.5,4.99,Cancelled,0,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A056362,B968749,C788092,MARKETPLACE,EUR,REF-98750642,24.75,0.16,24.59,Cancelled,2.48,24.59,Cancelled,0.65,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A466113,B578850,C236503,ONLINE,EUR,REF-79331228,62.96,1.96,60.98,Cancelled,6.3,61,Cancelled,3.11,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A690620,B684449,C642367,RETAIL,EUR,REF-82705591,8.96,0.01,8.93,Cancelled,0.9,8.95,Cancelled,0.11,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A382697,B754657,C502293,SUBSCRIPTION,EUR,REF-90937289,3.92,0.17,3.84,Cancelled,0.39,3.75,Cancelled,4.34,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A186670,B095942,C023537,WHOLESALE,EUR,REF-93352318,2.05,0.15,1.87,Cancelled,0.2,1.9,Cancelled,7.32,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A992043,B291404,C063578,B2B,EUR,REF-90614754,27.5,0.27,27.28,Cancelled,2.75,27.23,Cancelled,0.98,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A001494,B599904,C847660,MARKETPLACE,EUR,REF-81026549,3.96,0.06,3.91,Cancelled,0.4,3.9,Cancelled,1.52,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A928916,B685399,C826883,MARKETPLACE,EUR,REF-01192001,11.05,0.16,10.86,Cancelled,1.11,10.89,Cancelled,1.45,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A141734,B366543,C488043,ONLINE,EUR,REF-46634228,6.9,0.36,6.47,Cancelled,0.69,6.54,Cancelled,5.22,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A831767,B329615,C868305,B2B,EUR,REF-68977959,18.06,0.38,17.7,Cancelled,1.81,17.68,Cancelled,2.1,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A754854,B380132,C437232,ONLINE,EUR,REF-72536377,4.07,0.02,4.02,Cancelled,0.41,4.05,Cancelled,0.49,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A640560,B516111,C747712,ONLINE,EUR,REF-08576153,6.56,0.25,6.31,Cancelled,0.66,6.31,Cancelled,3.81,Europe,Digital Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A990654,B504372,C736850,SUBSCRIPTION,EUR,REF-14010279,1.29,0.01,1.27,Cancelled,0.13,1.28,Cancelled,0.78,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A321464,B431497,C910306,SUBSCRIPTION,EUR,REF-14332573,9.21,0.05,9.2000000000000011,Cancelled,0.92,9.16,Cancelled,0.54,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A073425,B261875,C871529,WHOLESALE,EUR,REF-82241743,9.68,0.05,9.6,Cancelled,0.97,9.63,Cancelled,0.52,Europe,Physical Commerce,true,false,2026-02-25 17:55:51.437438 UTC
A983100,B009023,C695356,WHOLESALE,EUR,REF-08191594,3.02,0.18,2.83,Cancelled,0.3,2.84,Cancelled,5.96,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A008882,B013021,C688956,WHOLESALE,EUR,REF-75374889,10.58,0.52,10.06,Cancelled,1.06,10.06,Cancelled,4.91,Europe,Physical Commerce,false,false,2026-02-25 17:55:51.437438 UTC
A288930,B383503,C414076,B2B,EUR,REF-32887241,6.05,0.03,5.96,Cancelled,0.6,6.02,Cancelled,0.5,Europe,Business Services,true,false,2026-02-25 17:55:51.437438 UTC
A011937,B675756,C715373,ONLINE,EUR,REF-82300602,1.09,0,1.05,Cancelled,0.11,1.09,Cancelled,0,Europe,Digital Commerce,true,false,2026-02-25 17:55:51.437438 UTC
