ID1,ID2,ID3,String1,String2,String3,Float1,Float2,Float3,Status
A873091,B186690,C412539,Retail,EUR,REF-64411699,7.92,0.13,7.9,Reversed
A398585,B996606,C920257,Online,EUR,REF-32655694,13.36,0.12,13.16,Settled
A331807,B637671,C020852,Marketplace,GBP,REF-63553966,7.95,0.13,7.79,Reversed
A107899,B721515,C692787,Marketplace,EUR,REF-50983094,11.45,0.02,11.43,Cancelled
A386970,B058398,C633341,B2B,PLN,REF-19349284,7.02,0.29,6.75,Cancelled
A477654,B648987,C297982,B2B,EUR,REF-42582922,8.38,0.09,8.27,Pending
A555221,B767636,C616454,Online,EUR,REF-26076078,11.02,0.25,10.72,In Review
A247119,B147105,C149456,Online,PLN,REF-54973503,2.07,0.34,1.77,Cancelled
A297891,B934979,C160203,Marketplace,EUR,REF-04519704,5.15,0.24,4.92,In Review
A123645,B190229,C459148,Wholesale,USD,REF-07992659,4.57,0.14,4.41,Settled
A218513,B922735,C844603,Online,EUR,REF-38245772,3.99,0.13,3.89,Settled
A138660,B931358,C094368,Marketplace,EUR,REF-51429242,5.34,0.12,5.21,In Review
A772022,B261378,C252445,B2B,USD,REF-47345060,21.99,0.51,21.48,Settled
A232538,B448984,C914023,Retail,USD,REF-08190250,3.33,0.08,3.24,Pending
A051008,B145475,C441732,B2B,EUR,REF-10509291,14.43,0.01,14.38,Pending
A600553,B014977,C979866,Retail,GBP,REF-10319086,1.73,0.13,1.55,Settled
A554490,B461886,C206363,Wholesale,EUR,REF-08512908,5.09,0.1,4.96,Settled
A040586,B496814,C521146,Marketplace,GBP,REF-83176699,7.58,0.39,7.19,Settled
A689697,B168829,C356868,Retail,GBP,REF-26781208,10.63,0.28,10.26,Settled
A663541,B618175,C038744,Wholesale,SEK,REF-79446561,11.75,0.12,11.68,In Review
A962806,B911723,C893685,Marketplace,PLN,REF-49142406,12.55,0.56,11.99,Settled
A765032,B290725,C295962,B2B,PLN,REF-99184273,5.03,0.0,4.98,Settled
A799456,B762579,C072132,Wholesale,SEK,REF-98343442,4.59,0.37,4.31,Settled
A747401,B425476,C388399,Online,PLN,REF-60328252,13.21,0.05,13.17,Settled
A649220,B443596,C528188,Marketplace,GBP,REF-40205686,5.71,0.17,5.47,Settled
A632258,B276104,C390677,Subscription,EUR,REF-39841804,2.4,0.13,2.35,Settled
A623921,B989323,C312006,Wholesale,GBP,REF-12481961,2.69,0.22,2.54,Settled
A439669,B441969,C703088,Retail,USD,REF-55608316,3.19,0.0,3.14,In Review
A094920,B922625,C702285,Online,NOK,REF-66217136,9.9,0.0,9.88,Pending
A982179,B984207,C981443,Wholesale,GBP,REF-55966229,7.45,0.11,7.32,Settled
A975660,B187962,C132292,Online,EUR,REF-23076671,11.56,0.02,11.44,Failed
A090414,B459175,C024544,Retail,EUR,REF-25468607,4.73,0.0,4.7,Settled
A782467,B075061,C857702,Online,EUR,REF-85686316,7.55,0.12,7.47,Settled
A757189,B806469,C965536,Wholesale,USD,REF-13470653,10.97,0.03,10.97,Settled
A248090,B358222,C657082,Marketplace,USD,REF-29161552,5.19,0.25,4.94,Pending
A381824,B128669,C916984,Wholesale,EUR,REF-32738944,9.59,0.17,9.46,Settled
A769203,B221615,C606605,Wholesale,EUR,REF-42710420,3.92,0.39,3.47,Pending
A825873,B789899,C856130,Wholesale,EUR,REF-30820992,4.97,0.02,4.9399999999999995,Settled
A399715,B094218,C482667,Subscription,PLN,REF-90689950,4.9,0.14,4.72,Settled
A629186,B506477,C436259,B2B,EUR,REF-50583718,2.56,0.04,2.48,Settled
A456527,B955567,C559616,Wholesale,EUR,REF-34592192,9.82,0.0,9.79,Settled
A138932,B366605,C391577,B2B,USD,REF-33949926,4.57,0.08,4.46,In Review
A161193,B191861,C383206,Retail,EUR,REF-51108941,6.72,0.22,6.49,Pending
A839719,B576420,C479480,Wholesale,USD,REF-36303210,9.77,0.16,9.6,Settled
A017706,B631753,C638865,Wholesale,PLN,REF-12261665,9.51,0.13,9.39,Failed
A076346,B350687,C653578,B2B,EUR,REF-32750503,11.33,0.0,11.29,Settled
A295648,B723902,C018055,Subscription,PLN,REF-43270399,6.15,0.1,6.05,Settled
A810736,B809721,C262997,Online,USD,REF-96170169,4.74,0.1,4.59,Settled
A704431,B643114,C256214,Subscription,EUR,REF-29698718,6.24,0.17,6.11,Pending
A567174,B789151,C400190,Wholesale,EUR,REF-20355156,1.72,0.0,1.7,Settled
A623248,B347936,C637562,Wholesale,EUR,REF-39935481,2.09,0.0,2.09,Reversed
A150438,B229973,C959590,B2B,EUR,REF-68417370,2.31,0.11,2.17,Settled
A159027,B890750,C719356,Marketplace,EUR,REF-98519686,3.0,0.08,2.94,Settled
A594808,B432025,C073523,Retail,SEK,REF-06003702,9.16,0.37,8.75,Settled
A356028,B108084,C679983,Online,EUR,REF-64674027,3.22,0.01,3.22,In Review
A554835,B138449,C202414,Marketplace,SEK,REF-53709336,4.92,0.02,4.88,Settled
A642779,B978379,C711324,B2B,USD,REF-33747402,18.81,0.59,18.35,Pending
A316533,B005580,C041441,Wholesale,USD,REF-15939312,5.0,0.0,4.94,Settled
A852749,B860471,C353262,Retail,USD,REF-65823352,12.0,0.24,11.63,Settled
A812449,B296485,C593191,Subscription,PLN,REF-62847877,3.15,0.02,3.1,Settled
A107640,B996491,C207304,B2B,SEK,REF-13304845,5.64,0.0,5.56,Settled
A126044,B560606,C519667,Wholesale,EUR,REF-61682236,3.11,0.04,3.04,Reversed
A209049,B750732,C431011,Wholesale,EUR,REF-51145900,5.07,0.44,4.57,Failed
A139754,B759312,C065405,B2B,EUR,REF-41646317,13.03,0.18,12.81,Settled
A549789,B446855,C364659,Subscription,EUR,REF-53196692,1.67,0.09,1.52,Settled
A242120,B949898,C461925,Wholesale,EUR,REF-92483060,9.42,0.35,9.11,Settled
A649357,B720597,C567430,Marketplace,GBP,REF-43459729,8.04,0.08,7.96,Settled
A865589,B422865,C195369,Marketplace,EUR,REF-89140506,4.14,0.44,3.75,Settled
A139324,B356336,C812402,B2B,PLN,REF-02957053,2.09,0.0,2.09,Settled
A166114,B003429,C646074,Marketplace,GBP,REF-73498115,7.05,0.38,6.71,Settled
A177803,B229325,C770834,Online,EUR,REF-74879420,4.35,0.41,3.93,Settled
A806514,B649930,C808323,Retail,EUR,REF-71965186,8.01,0.0,8.0,Settled
A977147,B687693,C760782,B2B,USD,REF-36947371,6.77,0.32,6.47,Settled
A773622,B206720,C107085,Subscription,EUR,REF-06822804,23.96,0.37,23.55,Settled
A685501,B458836,C380856,Online,EUR,REF-05518705,5.49,0.04,5.48,Pending
A609406,B576036,C754971,Wholesale,EUR,REF-32355637,2.93,0.12,2.81,Settled
A202011,B196282,C384973,Retail,EUR,REF-12191555,7.68,0.01,7.66,Pending
A469606,B451873,C440920,Wholesale,USD,REF-20316227,7.93,0.19,7.74,Reversed
A910369,B804144,C404211,Subscription,EUR,REF-01904227,19.73,0.26,19.51,Settled
A356307,B278178,C513025,Wholesale,EUR,REF-38854675,12.97,0.29,12.57,Settled
A028705,B768329,C030839,Marketplace,GBP,REF-90847034,8.85,0.39,8.44,Failed
A215878,B298778,C449410,Online,USD,REF-36496910,21.44,0.59,20.89,Settled
A505005,B096097,C636133,Retail,EUR,REF-31826261,2.57,0.0,2.55,Settled
A695019,B342203,C716693,Subscription,EUR,REF-43722314,3.99,0.11,3.82,Pending
A432930,B419000,C600053,B2B,EUR,REF-57092840,3.17,0.0,3.05,Settled
A461706,B174626,C712159,Wholesale,USD,REF-91930727,4.87,0.0,4.84,Settled
A694520,B727857,C065382,Marketplace,EUR,REF-16619105,2.21,0.0,2.2,Settled
A273787,B705730,C587062,B2B,GBP,REF-30164954,11.06,0.38,10.75,Settled
A796990,B552657,C660227,Subscription,EUR,REF-10575525,5.57,0.14,5.47,Failed
A324567,B394562,C226237,Retail,PLN,REF-04459329,2.05,0.11,1.9,Cancelled
A110715,B058126,C392980,Online,EUR,REF-70668370,2.95,0.08,2.74,Reversed
A139590,B718110,C380091,Marketplace,EUR,REF-29141586,8.55,0.0,8.52,Pending
A363075,B336890,C049928,Wholesale,PLN,REF-24692629,13.0,0.24,12.76,Settled
A044537,B582359,C814141,Marketplace,PLN,REF-44252567,32.86,0.03,32.85,Settled
A189479,B318486,C577913,Wholesale,USD,REF-47821260,68.44,0.62,67.77,In Review
A438299,B227099,C312997,Subscription,EUR,REF-43646172,9.27,0.19,9.09,Cancelled
A941502,B589175,C957711,Online,USD,REF-83844128,3.01,0.16,2.87,Reversed
A976202,B321256,C918063,Retail,GBP,REF-68224933,1.21,0.0,1.19,Pending
A764259,B425088,C067242,Subscription,EUR,REF-37854951,8.24,0.23,8.0,Settled
A943610,B923947,C287934,Online,EUR,REF-19364060,3.47,0.26,3.23,Settled
A614764,B254160,C944291,Wholesale,USD,REF-09857283,4.77,0.16,4.63,Pending
A135431,B421749,C550370,Wholesale,GBP,REF-70762034,4.08,0.11,4.01,Settled
A660641,B333206,C404433,Online,USD,REF-78533516,5.94,0.05,5.86,Settled
A551447,B113223,C611396,Retail,EUR,REF-69799375,15.61,0.45,15.0,Pending
A851708,B423512,C780091,Subscription,PLN,REF-73850768,7.54,0.04,7.49,Cancelled
A348010,B643196,C168685,Retail,PLN,REF-63766128,5.86,0.27,5.58,Settled
A820156,B327433,C234052,Wholesale,USD,REF-61021658,2.9,0.08,2.77,Settled
A649785,B342250,C492516,Subscription,EUR,REF-96501430,1.74,0.02,1.64,Settled
A738732,B672733,C188877,B2B,EUR,REF-53791704,4.51,0.11,4.37,Pending
A027131,B465664,C261157,Online,USD,REF-90323475,6.37,0.0,6.37,Cancelled
A965563,B582837,C136196,Subscription,GBP,REF-75219066,27.36,0.24,27.12,Failed
A543539,B206440,C239062,Marketplace,USD,REF-44195890,7.38,0.2,7.07,Settled
A649102,B458924,C596707,Subscription,EUR,REF-35326699,14.6,0.81,13.7,Pending
A461139,B012761,C487668,B2B,PLN,REF-16610711,4.46,0.24,4.28,Settled
A135867,B569223,C588992,Online,EUR,REF-32969099,2.58,0.12,2.45,Settled
A561263,B584664,C297994,Wholesale,SEK,REF-52338722,3.07,0.15,2.93,Failed
A691261,B170749,C748900,Online,USD,REF-62741396,3.72,0.33,3.33,Failed
A152292,B434205,C593135,Online,USD,REF-84426700,36.51,0.0,36.51,Pending
A369313,B686476,C023293,Subscription,EUR,REF-16642895,3.45,0.02,3.41,Reversed
A618720,B405458,C708928,Retail,EUR,REF-16160905,13.01,0.07,12.91,Settled
A288628,B963330,C658460,B2B,NOK,REF-63322229,3.23,0.16,2.99,Settled
A296331,B923035,C728181,Retail,GBP,REF-01598465,14.01,0.52,13.45,Settled
A112409,B148842,C585318,B2B,USD,REF-86706452,9.05,0.0,9.030000000000001,In Review
A508339,B261186,C208979,Online,USD,REF-21593875,5.87,0.31,5.54,Cancelled
A120446,B317423,C795950,B2B,EUR,REF-51512015,6.44,0.01,6.430000000000001,Cancelled
A868990,B586387,C336580,Wholesale,GBP,REF-07684119,3.94,0.0,3.93,Pending
A172880,B598947,C222484,Wholesale,EUR,REF-08292913,9.5,0.08,9.41,In Review
A093761,B826869,C969887,Wholesale,EUR,REF-66286347,4.62,0.35,4.24,Settled
A926355,B359155,C582100,B2B,EUR,REF-94188793,2.5,0.0,2.49,Settled
A397571,B454958,C915767,Wholesale,USD,REF-86932407,2.39,0.09,2.32,Pending
A197229,B489144,C362411,Online,EUR,REF-98741123,7.64,0.18,7.41,Settled
A548346,B753209,C920347,Retail,NOK,REF-19684603,23.53,0.45,23.05,Pending
A102266,B454722,C972114,Wholesale,GBP,REF-73304844,7.56,0.1,7.51,Settled
A412500,B559459,C608416,Marketplace,SEK,REF-61218227,6.05,0.14,5.76,In Review
A658549,B093902,C308350,Retail,USD,REF-21223279,8.36,0.05,8.32,In Review
A479621,B351003,C559224,Marketplace,EUR,REF-38978475,18.91,0.44,18.49,Reversed
A925832,B454128,C590318,B2B,NOK,REF-81972110,7.93,0.21,7.68,Settled
A720551,B907061,C532292,Marketplace,EUR,REF-46644723,4.79,0.03,4.76,Settled
A648747,B114281,C319087,Subscription,SEK,REF-25283767,16.12,0.26,15.88,In Review
A669929,B376778,C730193,B2B,EUR,REF-58308740,9.37,0.0,9.31,Reversed
A686346,B640170,C719044,Marketplace,PLN,REF-62942907,22.72,0.55,22.22,Settled
A477263,B458831,C046373,B2B,GBP,REF-61805280,7.7,0.0,7.7,Pending
A105512,B303167,C631532,Subscription,USD,REF-58931903,2.5,0.39,2.1,Settled
A257046,B647748,C160564,Online,GBP,REF-38165699,2.23,0.38,1.86,Reversed
A312854,B031947,C959291,Marketplace,EUR,REF-37477184,24.92,0.2,24.75,Settled
A258056,B593619,C270762,Wholesale,EUR,REF-37991280,26.41,0.58,25.95,Settled
A280949,B876027,C606695,Subscription,EUR,REF-90046623,5.76,0.09,5.7,Settled
A764122,B512493,C643882,Retail,NOK,REF-43196609,4.9,0.0,4.9,Settled
A944865,B792164,C787033,Subscription,USD,REF-90130955,21.41,0.53,20.9,In Review
A450351,B690062,C264426,Retail,EUR,REF-31644102,2.74,0.03,2.7300000000000004,Pending
A485522,B621953,C820683,Retail,EUR,REF-34008461,3.25,0.0,3.18,Settled
A329256,B693750,C140429,Wholesale,PLN,REF-35012106,11.13,0.05,10.99,Settled
A630693,B978033,C010383,B2B,PLN,REF-34809048,4.85,0.09,4.77,Pending
A685025,B529501,C097213,B2B,SEK,REF-32551083,6.62,0.11,6.55,Cancelled
A056103,B279180,C045163,Subscription,EUR,REF-65484656,5.84,0.08,5.63,Settled
A502777,B505571,C896150,Subscription,USD,REF-96288578,8.71,0.03,8.68,Pending
A426442,B478762,C080127,Wholesale,EUR,REF-28399379,20.51,0.74,19.75,In Review
A441290,B164689,C675623,Retail,GBP,REF-30509678,7.15,0.13,7.05,Settled
A507643,B953733,C530080,Retail,PLN,REF-30382390,11.13,0.52,10.64,Reversed
A138667,B710903,C421181,Retail,EUR,REF-24207102,1.29,0.11,1.09,Settled
A799807,B360964,C168325,Online,USD,REF-02057649,6.4,0.05,6.29,Settled
A900616,B991098,C098328,B2B,EUR,REF-00402780,3.39,0.13,3.22,Cancelled
A108481,B316639,C496439,Retail,USD,REF-09394268,2.51,0.0,2.51,In Review
A830627,B290825,C636026,Online,EUR,REF-14882069,3.29,0.41,2.9,Settled
A561338,B203081,C640054,Subscription,EUR,REF-65803491,5.09,0.14,4.92,Pending
A837150,B200254,C620611,Retail,EUR,REF-12925111,13.84,0.56,13.29,Pending
A183651,B600186,C400079,Subscription,EUR,REF-32080291,2.3,0.0,2.25,Cancelled
A187432,B939487,C007284,Online,USD,REF-46460757,6.82,0.01,6.7700000000000005,Pending
A005229,B549990,C804357,Marketplace,USD,REF-08123951,4.52,0.07,4.47,Reversed
A504287,B410878,C321275,Online,SEK,REF-47620620,5.12,0.07,5.09,Pending
A413717,B822028,C664337,Subscription,EUR,REF-93020655,14.84,0.18,14.72,Settled
A947678,B692263,C766211,Marketplace,USD,REF-00692802,10.23,0.18,10.1,Settled
A557282,B148949,C993533,B2B,NOK,REF-29570276,19.39,0.43,18.96,Cancelled
A927760,B471074,C864492,Subscription,USD,REF-08906252,5.88,0.0,5.87,In Review
A262445,B631446,C870990,Subscription,GBP,REF-20910605,3.81,0.07,3.81,Settled
A038838,B562652,C253735,Online,NOK,REF-84161281,5.56,0.0,5.56,Pending
A830622,B015499,C631597,B2B,GBP,REF-52233449,8.08,0.0,8.04,Settled
A006871,B333922,C446375,Wholesale,EUR,REF-34507294,7.66,0.07,7.640000000000001,Pending
A849177,B989294,C492846,Wholesale,EUR,REF-83071236,2.79,0.08,2.67,Settled
A511245,B770661,C772992,B2B,EUR,REF-91801266,7.15,0.39,6.68,In Review
A580429,B740720,C947769,Online,USD,REF-87262198,7.98,0.3,7.73,Failed
A212035,B504007,C596468,Subscription,USD,REF-51007275,49.84,1.67,48.13,Pending
A268672,B558766,C126755,Retail,EUR,REF-50859803,29.85,0.7,29.17,Settled
A210349,B482026,C353193,Online,EUR,REF-74215890,3.36,0.06,3.35,Settled
A739914,B240870,C214988,Subscription,EUR,REF-43572585,5.29,0.49,4.73,Settled
A464957,B560868,C971598,Subscription,USD,REF-52317321,2.06,0.0,2.06,Settled
A101428,B844796,C966682,Wholesale,EUR,REF-77273066,4.15,0.05,4.130000000000001,Settled
A047111,B937500,C510320,Retail,EUR,REF-59530842,8.56,0.05,8.54,Cancelled
A718423,B350962,C196439,Subscription,USD,REF-75586122,17.45,0.25,17.19,Settled
A669491,B818318,C626074,Online,EUR,REF-44001547,3.71,0.0,3.69,Settled
A315615,B317943,C938789,Marketplace,USD,REF-80604233,3.94,0.15,3.79,Cancelled
A350860,B059902,C503635,Retail,EUR,REF-17724857,1.19,0.1,1.12,Pending
A800874,B299551,C229803,B2B,USD,REF-69611952,5.84,0.22,5.7,Settled
A072982,B359139,C128567,Online,PLN,REF-82043318,2.84,0.19,2.71,Failed
A963491,B996658,C601872,Wholesale,EUR,REF-41744491,4.35,0.34,4.08,Settled
A849297,B154051,C545862,B2B,EUR,REF-54411626,3.3,0.03,3.22,Settled
A133006,B438868,C342457,Subscription,SEK,REF-61449095,6.17,0.1,6.13,Settled
A524455,B911944,C280023,Retail,GBP,REF-40185314,1.63,0.0,1.5799999999999998,Settled
A565399,B225645,C762991,Subscription,EUR,REF-48135827,2.06,0.0,2.02,Cancelled
A915045,B246244,C023975,Wholesale,GBP,REF-67533243,36.53,0.51,36.03,In Review
A597122,B612908,C716763,Marketplace,USD,REF-74484651,2.37,0.0,2.35,Settled
A004391,B766631,C161939,Wholesale,USD,REF-42564817,2.77,0.18,2.68,Cancelled
A284701,B264559,C979680,B2B,GBP,REF-88441366,28.92,0.15,28.78,Reversed
A584760,B614605,C926086,Wholesale,EUR,REF-84910923,67.96,1.81,66.11,Settled
A374525,B633567,C086323,Wholesale,USD,REF-72706183,2.61,0.0,2.55,Settled
A469768,B767008,C800564,Retail,EUR,REF-13569435,4.95,0.18,4.78,Settled
A941290,B579797,C591206,Marketplace,USD,REF-38449704,8.74,0.16,8.51,Settled
A937419,B669303,C022119,Subscription,EUR,REF-02992126,26.52,0.04,26.45,Settled
A268637,B359830,C329749,Retail,SEK,REF-92929190,3.02,0.0,3.01,Settled
A176792,B287559,C609539,Retail,USD,REF-56939393,5.47,0.32,5.13,Pending
A955035,B415828,C142036,Wholesale,PLN,REF-33287248,12.39,0.35,12.07,Settled
A545747,B498278,C588505,Online,EUR,REF-25684369,9.42,0.06,9.32,Settled
A591814,B551434,C320060,Retail,EUR,REF-68262200,4.92,0.0,4.8,Settled
A172259,B172401,C470849,Online,GBP,REF-11821338,5.98,0.01,5.88,Settled
A643512,B818790,C148592,Wholesale,EUR,REF-36427458,2.21,0.14,2.07,Settled
A859064,B231508,C144042,Marketplace,NOK,REF-03032892,5.5,0.0,5.47,Settled
A135497,B254223,C939636,Online,USD,REF-74638601,5.37,0.12,5.19,Pending
A334971,B124267,C935678,Retail,PLN,REF-77037913,8.01,0.49,7.62,Settled
A410113,B264662,C810170,Wholesale,EUR,REF-74359538,4.27,0.16,4.15,Settled
A450192,B876066,C520082,B2B,EUR,REF-95980660,9.7,0.31,9.39,Settled
A224283,B873833,C926906,Retail,EUR,REF-48827271,14.95,0.19,14.78,In Review
A687641,B285668,C732858,Retail,NOK,REF-61574928,7.53,0.0,7.52,Pending
A220937,B245128,C542600,Retail,EUR,REF-86479517,8.81,0.14,8.61,Pending
A270790,B131480,C849501,Retail,GBP,REF-77262588,6.94,0.0,6.94,Reversed
A551746,B332771,C864591,Marketplace,USD,REF-46079925,6.65,0.3,6.39,Pending
A120737,B240971,C962864,Marketplace,PLN,REF-83847149,3.73,0.11,3.53,Settled
A844101,B077460,C994730,B2B,NOK,REF-77153460,8.57,0.73,7.85,Cancelled
A446356,B263163,C109323,Retail,PLN,REF-80542553,6.15,0.04,6.13,Settled
A964449,B233057,C979712,B2B,EUR,REF-48706897,35.49,0.18,35.3,Settled
A368508,B125326,C384239,B2B,PLN,REF-32675950,23.42,0.0,23.41,Settled
A015284,B334228,C657023,B2B,USD,REF-77893109,9.06,0.38,8.77,Settled
A354597,B697525,C525449,B2B,USD,REF-00235139,3.61,0.14,3.45,Failed
A625287,B999786,C311793,B2B,EUR,REF-87766525,2.73,0.0,2.72,Settled
A007668,B666432,C578179,Online,PLN,REF-62812988,17.25,0.07,17.17,Settled
A481837,B745050,C582840,Retail,EUR,REF-82882116,8.21,0.33,7.85,Pending
A779299,B589279,C910277,B2B,PLN,REF-94758236,9.77,0.47,9.25,In Review
A891255,B620291,C983733,Marketplace,EUR,REF-73063043,1.65,0.0,1.64,Settled
A739804,B869217,C481352,Subscription,USD,REF-88752441,13.97,0.0,13.92,Settled
A247335,B893201,C053923,Online,EUR,REF-63927965,9.57,0.48,9.17,Pending
A704051,B053948,C766329,Marketplace,EUR,REF-00475475,2.74,0.04,2.74,Settled
A783196,B503079,C881714,Online,SEK,REF-37730589,4.56,0.17,4.27,Settled
A411182,B606997,C449773,Online,GBP,REF-90420682,8.21,0.39,7.73,Settled
A655010,B984595,C313204,Marketplace,EUR,REF-22716296,6.94,0.0,6.930000000000001,Settled
A495534,B588002,C384135,Marketplace,USD,REF-01085880,5.27,0.0,5.26,Settled
A410063,B260371,C415916,Wholesale,GBP,REF-41961657,6.12,0.06,6.09,Reversed
A663755,B716951,C259995,Wholesale,USD,REF-53140040,5.44,0.34,5.08,Settled
A972648,B973632,C347039,Wholesale,EUR,REF-49824648,7.51,0.27,7.31,Settled
A955414,B325579,C303620,Retail,PLN,REF-85265557,21.59,0.75,20.88,Settled
A018209,B306680,C125689,Marketplace,EUR,REF-17737114,1.0,0.01,0.97,Settled
A282481,B425921,C636301,Marketplace,USD,REF-41603939,5.5,0.21,5.2,Pending
A830914,B613678,C386065,Subscription,USD,REF-59606343,7.66,0.11,7.56,In Review
A747532,B338835,C055434,B2B,USD,REF-68385217,8.43,0.28,8.24,Settled
A734398,B689884,C622732,Online,EUR,REF-23249144,4.94,0.17,4.8,Reversed
A614952,B390342,C312303,Marketplace,EUR,REF-88392488,1.63,0.29,1.39,Settled
A428462,B495854,C139277,Marketplace,NOK,REF-97013023,8.65,0.2,8.45,Settled
A634785,B640046,C674759,B2B,PLN,REF-99043439,26.49,0.11,26.39,Settled
A827848,B233217,C695006,Marketplace,SEK,REF-04408744,1.95,0.23,1.79,Pending
A093644,B258306,C089565,Retail,GBP,REF-36907824,13.28,0.5,12.74,Pending
A011542,B276017,C756802,Marketplace,EUR,REF-29009315,5.11,0.05,5.02,Pending
A763872,B868005,C540475,Online,USD,REF-03477262,6.33,0.0,6.31,Cancelled
A062982,B602202,C154706,Wholesale,EUR,REF-26381895,2.86,0.28,2.59,Settled
A410778,B993872,C459196,Marketplace,EUR,REF-04181302,5.09,0.0,5.01,Pending
A123023,B282671,C992975,Marketplace,EUR,REF-73788860,18.82,0.04,18.82,Settled
A329521,B426010,C065127,Retail,EUR,REF-27032004,10.6,0.03,10.56,Settled
A185758,B421282,C489183,Subscription,EUR,REF-66337631,26.59,0.64,26.0,Settled
A432453,B990795,C076442,Marketplace,EUR,REF-01519313,17.06,0.0,16.95,Pending
A013405,B655386,C201697,B2B,GBP,REF-79248558,9.45,0.27,9.22,Cancelled
A871921,B482103,C600819,Online,SEK,REF-20733479,26.84,0.52,26.39,Pending
A705338,B561122,C586908,Retail,EUR,REF-23927088,9.45,0.05,9.43,Pending
A653109,B019820,C528016,Online,EUR,REF-15394950,12.9,0.53,12.38,In Review
A777497,B351537,C582548,Subscription,EUR,REF-08238299,5.25,0.15,5.14,Failed
A009354,B902440,C720726,Marketplace,GBP,REF-91191287,7.02,0.36,6.71,Settled
